Mutants,initial_biomass,lag,t_max,max_slope,r2,y-intercept,x-intercept
WT,0.088333333333333,8.45722222222222,13.8325,0.105942857142857,0.996857061654257,-0.898621238095238,8.48213142754405
WT,0.091,11.7072222222222,16.8322222222222,0.109714285714286,0.998916106655105,-1.25573523809523,11.4455034722222
mutant1,0.096666666666667,11.9572222222222,15.0825462962963,0.095659189668763,0.996127004774942,-1.03195082351197,10.7877855445492
mutant1,0.105666666666667,12.2072222222222,15.8323611111111,0.105287454705606,0.997717817911746,-1.19544900336891,11.3541447716777
mutant11,0.123333333333333,10.4572222222222,14.0825,0.098057142857143,0.994950669009325,-0.824889714285713,8.41233682983682
mutant11,0.101666666666667,12.4572222222222,15.8323611111111,0.106659667253283,0.995373789601428,-1.22217436794493,11.4586366094941
mutant13,0.087,12.2072222222222,16.3322685185185,0.103902481451933,0.997907128912404,-1.23812989348003,11.9162687568035
mutant13,0.082,11.2072222222222,17.3322222222222,0.104228571428571,0.995202731268397,-1.18017942857143,11.3229934210526
mutant16,0.093,11.7072222222222,15.8323611111111,0.104258422351566,0.998717226494886,-1.1463236582114,10.9950221033071
mutant16,0.108333333333333,12.4572222222222,15.8323611111111,0.104030482600591,0.995694066086965,-1.18071483376238,11.3497006285701
WT,0.076,7.95722222222222,12.3323148148148,0.105002147762484,0.998321414432335,-0.846419542438659,8.06097361316138
WT,0.078666666666667,10.7072222222222,15.3325,0.110771169726965,0.999126532236997,-1.21489895983869,10.9676458489446
mutant1,0.102333333333333,11.9572222222222,15.8323611111111,0.109517045770385,0.999460618890543,-1.19791341645882,10.9381458204267
mutant1,0.084,11.2072222222222,15.5824537037037,0.110559677952711,0.99946561917811,-1.26329106319451,11.4263272703711
mutant11,0.08,8.20722222222222,13.5825,0.1032,0.996055238068093,-0.847547333333332,8.21266795865633
mutant11,0.102,12.2072222222222,16.3322685185185,0.113960361669176,0.998346636362597,-1.30673122724846,11.4665415948913
mutant13,0.089666666666667,12.2072222222222,16.3322685185185,0.114761504842132,0.998774960742276,-1.38731571267096,12.0886852658422
mutant13,0.088,11.4572222222222,16.5822222222222,0.108228571428571,0.997047133573847,-1.21317022222222,11.2093341546404
mutant16,0.102333333333333,11.9572222222222,15.5824537037037,0.104271441300001,0.999833421325074,-1.12980490667572,10.8352286358557
mutant16,0.084,10.9572222222222,15.0825462962963,0.101031763272932,0.999670559327408,-1.12314958029378,11.1167967766696
mutant32,0.079333333333333,18.4572222222222,23.8322222222222,0.067771428571429,0.986010103606361,-1.24197707936508,18.3259687090125
mutant32,0.092,11.7072222222222,16.3322685185185,0.113617946107646,0.99798103832051,-1.31130547101931,11.5413587020568
mutant,0.074333333333333,22.7072222222222,24.5822222222222,0.030742857142857,0.972615874011515,-0.558894412698412,18.1796509706733
mutant32,0.085666666666667,15.4575,21.8322222222222,0.0776,0.999919030388908,-1.19801377777778,15.4383218785796
mutant,0.086,23.7072222222222,23.8322222222222,0.036457142857143,0.943469056632929,-0.688021396825396,18.8720602577499
mutant32,0.082333333333333,15.7075,21.8322222222222,0.0776,0.999009024951336,-1.18501377777777,15.2707961053837
mutant32,0.084,19.4575,23.8322222222222,0.077714285714286,0.970382080949117,-1.46377079365079,18.8352859477124
mutant32,0.092,12.2072222222222,16.3322685185185,0.113274683716485,0.997874762197098,-1.33753255080789,11.807868333189
WT_MgCl22.5mM,0.084333333333333,8.70722222222222,14.3325462962963,0.176428636621609,0.98973251626655,-1.77500493570498,10.0607530029939
WT_MgCl22.5mM,0.081666666666667,10.9572222222222,15.3325,0.109399044396585,0.99974666171056,-1.18319418154398,10.815397776737
mutant1_MgCl22.5mM,0.080333333333333,10.9572222222222,15.3325,0.109284954716337,0.999559269868984,-1.19061156818824,10.8945606582226
mutant1_MgCl22.5mM,0.085,11.2072222222222,15.8323611111111,0.112374424287487,0.998637248153172,-1.26998579830604,11.3013775719735
mutant11_MgCl22.5mM,0.111,9.95722222222222,12.5823611111111,0.099971688138872,0.999517669892663,-0.824046547717336,8.24279916702659
mutant11_MgCl22.5mM,0.084666666666667,11.4572222222222,15.8323611111111,0.114432488995567,0.999400639629946,-1.2965698219544,11.3304345062758
mutant13_MgCl22.5mM,0.081333333333333,12.2072222222222,16.3322685185185,0.114646547719645,0.998610434371976,-1.37893820207839,12.0277341926634
mutant13_MgCl22.5mM,0.085666666666667,11.4572222222222,15.8323611111111,0.11431851912008,0.997794065344015,-1.28859874306323,11.2720034599966
mutant16_MgCl22.5mM,0.081,11.2072222222222,15.3325,0.116372490242314,0.998874343497637,-1.30494787330694,11.2135425699815
mutant16_MgCl22.5mM,0.122333333333333,12.4572222222222,15.5824537037037,0.109530384138157,0.997473142219795,-1.20575213998172,11.0083804550601
WT_MgCl22.5mM,0.076333333333333,8.20722222222222,13.5825,0.102285714285714,0.995855909990365,-0.801129047619048,7.83226722532589
WT_MgCl22.5mM,0.069333333333333,10.4572222222222,15.0825462962963,0.108460340312005,0.999702476037379,-1.16235810406786,10.7168952330791
mutant1_MgCl22.5mM,0.071333333333333,10.2072222222222,14.8325462962963,0.109938833399241,0.999483468538517,-1.18733950282171,10.8000009287884
mutant1_MgCl22.5mM,0.087,11.4572222222222,15.8323611111111,0.110888750091192,0.999262326763206,-1.24429740127018,11.221132894427
mutant11_MgCl22.5mM,0.075333333333333,8.20722222222222,13.5825,0.103542857142857,0.998146797023201,-0.836370857142857,8.07753311258278
mutant11_MgCl22.5mM,0.076,10.9572222222222,15.0825462962963,0.11154570004764,0.99858561155526,-1.24872651845464,11.1947526253484
mutant13_MgCl22.5mM,0.08,12.2072222222222,16.8322222222222,0.1144,0.997871475211749,-1.38777288888889,12.1308818958819
mutant13_MgCl22.5mM,0.073333333333333,10.9572222222222,15.8323611111111,0.107687937267019,0.998212643863172,-1.19128764345545,11.0624056295329
mutant16_MgCl22.5mM,0.071333333333333,10.4572222222222,14.8325462962963,0.115080898151034,0.997472191797076,-1.28477608297791,11.1641124080535
mutant16_MgCl22.5mM,0.065333333333333,10.4572222222222,15.0825462962963,0.106973812154222,0.996344944508151,-1.20510414097402,11.2654126903195
mutant_MgCl22.5mM,0.068333333333333,21.4572222222222,24.5822222222222,0.033257142857143,0.984452926701672,-0.615701142857142,18.5133505154639
mutant32_MgCl22.5mM,0.074,14.9577777777778,20.8322222222222,0.081714285714286,0.999504703685722,-1.26645682539682,15.4985975135975
mutant32_MgCl22.5mM,0.087666666666667,19.4575,23.3322222222222,0.084342857142857,0.986221299403656,-1.59123961904762,18.8663233965673
mutant32_MgCl22.5mM,0.088,11.9572222222222,15.8323611111111,0.111460124149239,0.998929939984807,-1.26551026835336,11.3539283937896
mutant32_MgCl22.5mM,0.089,12.2072222222222,15.8323611111111,0.108602491518702,0.998724342858714,-1.22210052995714,11.2529695485548
mutant_MgCl22.5mM,0.082,22.9572222222222,24.5822222222222,0.031314285714286,0.891286110011872,-0.560441396825397,17.8973073803731
mutant32_MgCl22.5mM,0.084,15.4575,21.3322222222222,0.079542857142857,0.998974387175716,-1.22049257142857,15.3438362068965
